,Names,Review,Ratings,Salaries,Interviews,Jobs,Benefits,Photos,Old
0,TCS,3.8,73.8k,846.4k,6.5k,925,11.6k,77,56 years old
1,Accenture,4.0,46.8k,580.3k,4.6k,26.3k,7.1k,39,35 years old
2,Cognizant,3.9,42.1k,555.1k,3.8k,391,5.8k,63,30 years old
3,Wipro,3.8,39.7k,424.3k,3.8k,235,5k,79,79 years old
4,Capgemini,3.9,34.3k,412.2k,3k,624,4k,32,57 years old
5,HDFC Bank,4.0,34.2k,130.9k,1.6k,212,3.3k,4,30 years old
6,ICICI Bank,4.0,33.8k,140.9k,1.9k,57,3.8k,48,30 years old
7,Infosys,3.8,32.1k,457.4k,5k,945,5.2k,85,43 years old
8,HCLTech,3.7,28.9k,292.6k,2.6k,281,4.1k,35,33 years old
9,Tech Mahindra,3.7,27.9k,249.6k,2.5k,1k,3.6k,42,38 years old
10,Genpact,3.9,26.5k,186.4k,2k,626,3.7k,36,27 years old
11,Axis Bank,3.9,22.2k,97.2k,1.1k,179,2.2k,45,31 years old
12,Teleperformance,3.6,22.2k,83.6k,1.3k,389,2k,29,46 years old
13,Concentrix Corporation,3.9,22k,105.5k,1.1k,85,3.3k,33,41 years old
14,Jio,4.0,20.8k,65.6k,1.2k,132,2.6k,43,17 years old
15,Amazon,4.1,20.7k,121.3k,3.5k,178,4.2k,53,30 years old
16,IBM,4.1,19.9k,217.3k,1.6k,2.7k,2.7k,20,113 years old
17,Reliance Retail,4.0,19k,60k,1.2k,153,2k,101,18 years old
18,HDB Financial Services,4.0,18.3k,49.4k,607,108,1.5k,32,17 years old
19,Larsen & Toubro Limited,4.1,16.8k,79.1k,1.1k,151,2.9k,32,86 years old
